session_id,dialogue_response
305_turn_017,do you feel like therapy is useful
305_turn_018,do you feel like therapy is useful
305_turn_019,why don't we talk about that later
305_turn_020,how hard is that
305_turn_021,i understand
305_turn_022,did you think you had a problem before you found out
305_turn_023,how has seeing a therapist affected you
305_turn_024,that's so good to hear
305_turn_025,why did you stop
305_turn_026,i'm sorry
305_turn_027,<laughter>
305_turn_028,that sounds like a great situation
310_turn_000,that's good
310_turn_001,where are you from originally
310_turn_002,how does it compare to l_a
310_turn_003,why'd you move to l_a
310_turn_004,what do you enjoy about traveling
310_turn_005,really
310_turn_006,i'd love to hear about one of your trips
310_turn_007,awesome
310_turn_008,what do you do when you're annoyed
310_turn_009,could you say a little more about that
310_turn_010,i see what you mean
310_turn_011,<laughter>
310_turn_012,really
310_turn_013,what's one of your most memorable experiences
310_turn_014,whatever comes to your mind
310_turn_015,awesome
310_turn_016,that sounds like a great situation
310_turn_017,how do you know them
310_turn_018,how do you like your living situation
310_turn_019,i'm sorry to hear that
310_turn_020,what's it like for you living with them
310_turn_021,i understand
310_turn_022,have you ever been diagnosed with p_t_s_d
310_turn_023,have you been diagnosed with depression
310_turn_024,have you noticed any changes in your behavior or thoughts lately
310_turn_025,have you noticed any changes in your behavior or thoughts lately
310_turn_026,how easy is it for you to get a good night's sleep
310_turn_027,do you feel down
310_turn_028,do you feel that way often
310_turn_029,when was the last time you felt really happy
310_turn_030,what would you say are some of your best qualities
310_turn_031,<laughter>
310_turn_032,that's great
310_turn_033,tell me about something you did recently that you really enjoyed
310_turn_034,can you tell me about that
310_turn_035,<laughter>
310_turn_036,i see what you mean
310_turn_037,what made you decide to do that
310_turn_038,whatever comes to your mind
310_turn_039,what advice would you give yourself ten or twenty years ago
310_turn_040,okay i think i've asked everything i need to
312_turn_000,i'm great thanks
312_turn_001,what are some things you don't really like about l_a
312_turn_002,<laughter>
312_turn_003,do you travel a lot
312_turn_004,what do you enjoy about traveling
312_turn_005,what'd you study at school
312_turn_006,are you still working in that
312_turn_007,what do you do now
312_turn_008,awesome
312_turn_009,<laughter>
312_turn_010,who's someone that's been a positive influence in your life
312_turn_011,when was the last time you argued with someone and what was it about
312_turn_012,i see what you mean
312_turn_013,awesome
312_turn_014,what are some things that usually put you in a good mood
312_turn_015,tell me more about that
312_turn_016,really
312_turn_017,how old were you when you joined the military
312_turn_018,you were very young weren't you
312_turn_019,have you been diagnosed with depression
312_turn_020,how easy is it for you to get a good night's sleep
312_turn_021,that makes sense
312_turn_022,uh huh
312_turn_023,how hard is that
313_turn_000,that's good
313_turn_001,really
313_turn_002,when'd you move to l_a
313_turn_003,how often do you go back to your home town
313_turn_004,what are some things you don't really like about l_a
313_turn_005,i see what you mean
313_turn_006,what do you do when you're annoyed
313_turn_007,uh huh
313_turn_008,when was the last time you argued with someone and what was it about
313_turn_009,how did you feel in that moment
313_turn_010,are you still doing that
313_turn_011,what's your dream job
313_turn_012,really
313_turn_013,do you travel a lot
313_turn_014,i'd love to hear about one of your trips
313_turn_015,uh huh
313_turn_016,when was the last time you felt really happy
313_turn_017,tell me more about that
313_turn_018,have you been diagnosed with depression
313_turn_019,how long ago were you diagnosed
313_turn_020,what got you to seek help
313_turn_021,do you feel like therapy's useful
313_turn_022,can you give me an example of that
313_turn_023,that's so good to hear
313_turn_024,how has seeing a therapist affected you
313_turn_025,i see what you mean
313_turn_026,<laughter>
313_turn_027,what would you say are some of your best qualities
313_turn_028,what are you most proud of in your life
313_turn_029,can you give me an example of that
313_turn_030,that's good
315_turn_000,really
315_turn_001,that's so good to hear
315_turn_002,awesome
315_turn_003,what are some things that make you really mad
315_turn_004,what do you do when you're annoyed
315_turn_005,when was the last time you argued with someone and what was it about
315_turn_006,uh huh
315_turn_007,do you find it easy to be a parent
315_turn_008,what's the best thing about being a parent
315_turn_009,what's the hardest thing about being a parent
315_turn_010,how close are you to your family
315_turn_011,what do you think of today's kids
315_turn_012,awesome
315_turn_013,that sounds like a great situation
315_turn_014,have you ever been diagnosed with p_t_s_d
315_turn_015,have you been diagnosed with depression
315_turn_016,how easy is it for you to get a good night's sleep
315_turn_017,what are you like when you don't sleep well
315_turn_018,when was the last time that happened
315_turn_019,have you noticed any changes in your behavior or thoughts lately
315_turn_020,that's a long time
315_turn_021,that's great
315_turn_022,what made you decide to do that
315_turn_023,can you give me an example of that
315_turn_024,i'm sorry to hear that
315_turn_025,how did you feel in that moment
315_turn_026,what advice would you give yourself ten or twenty years ago
315_turn_027,tell me more about that
315_turn_028,awesome
315_turn_029,that makes sense
315_turn_030,that's great
316_turn_000,what do you do now
316_turn_001,when'd you move to l_a
316_turn_002,uh huh
316_turn_003,can you give me an example of that
316_turn_004,that's good
316_turn_005,what's your dream job
316_turn_006,how hard is that
316_turn_007,i'm sorry to hear that
316_turn_008,that's great
316_turn_009,awesome
316_turn_010,when was the last time that happened
316_turn_011,i'd love to hear about one of your trips
316_turn_012,really
316_turn_013,that's so good to hear
316_turn_014,have you ever been diagnosed with p_t_s_d
316_turn_015,have you been diagnosed with depression
316_turn_016,how long ago were you diagnosed
316_turn_017,what got you to seek help
316_turn_018,do you feel down
316_turn_019,that sounds really hard
316_turn_020,i'm sorry to hear that
316_turn_021,tell me more about that
316_turn_022,it can be tough to find a good job these days
316_turn_023,that's great
316_turn_024,do you still go to therapy now
316_turn_025,uh huh
316_turn_026,what was it about
316_turn_027,is it uncomfortable for you to talk about this
316_turn_028,that's good
316_turn_029,could you have done anything to avoid it
316_turn_030,what made you decide to do that
316_turn_031,why don't we talk about that later
316_turn_032,there are always trade offs in life aren't there
316_turn_033,do you think that maybe you're being a little hard on yourself
316_turn_034,that's great
316_turn_035,that's so good to hear
317_turn_000,i'm sorry to hear that
317_turn_001,really
317_turn_002,when'd you move to l_a
317_turn_003,how easy was it for you to get used to living in l_a
317_turn_004,i understand
317_turn_005,really
317_turn_006,i'm sorry
317_turn_007,that sucks
317_turn_008,how close are you to your family <asks do you travel a lot simultaneously>
317_turn_009,what do you enjoy about traveling
317_turn_010,i'd love to hear about one of your trips
317_turn_011,awesome
317_turn_012,how are you at controlling your temper
317_turn_013,what are some things that make you really mad
317_turn_014,can you give me an example of that
317_turn_015,i see what you mean
317_turn_016,that's good
317_turn_017,what's your dream job
317_turn_018,have you ever been diagnosed with p_t_s_d
317_turn_019,how long ago were you diagnosed
317_turn_020,what got you to seek help
317_turn_021,do you feel like therapy's useful
317_turn_022,do you still go to therapy now
317_turn_023,what sort of changes have you noticed since you've been going to therapy
317_turn_024,have you been diagnosed with depression
317_turn_025,how have you been feeling lately
317_turn_026,tell me more about that
317_turn_027,i'm sorry to hear that
317_turn_028,what would you say are some of your best qualities
317_turn_029,that's great
317_turn_030,when was the last time that happened
317_turn_031,what was it about
317_turn_032,awesome
317_turn_033,what advice would you give yourself ten or twenty years ago
317_turn_034,could you have done anything to avoid it
317_turn_035,tell me more about that
317_turn_036,how did you feel in that moment
317_turn_037,who's someone that's been a positive influence in your life
317_turn_038,that sounds really hard
317_turn_039,how close are you to them
317_turn_040,what'd you study at school
317_turn_041,that sounds interesting
318_turn_000,really
318_turn_001,are you still doing that
318_turn_002,what's your dream job
318_turn_003,that sounds interesting
318_turn_004,do you feel that way often
318_turn_005,what are some things that make you really mad
318_turn_006,i understand
318_turn_007,how are you at controlling your temper
318_turn_008,that's good
318_turn_009,<laughter> okay
318_turn_010,what do you enjoy about traveling
318_turn_011,i'd love to hear about one of your trips
318_turn_012,<laughter>
318_turn_013,how do you like your living situation
318_turn_014,do you have roommates
318_turn_015,have you ever been diagnosed with p_t_s_d
318_turn_016,have you been diagnosed with depression
318_turn_017,how easy is it for you to get a good night's sleep
318_turn_018,what advice would you give yourself ten or twenty years ago
318_turn_019,could you have done anything to avoid it
318_turn_020,that's great
318_turn_021,i'd love to hear all about it
318_turn_022,awesome
318_turn_023,that's so good to hear
319_turn_000,i see what you mean
319_turn_001,what's your dream job
319_turn_002,what do you do now
319_turn_003,i'm sorry to hear that
319_turn_004,it can be tough to find a good job these days
319_turn_005,that sounds interesting
319_turn_006,how are you at controlling your temper
319_turn_007,that's good
319_turn_008,what's one of your most memorable experiences
319_turn_009,tell me more about that
319_turn_010,that's great
319_turn_011,what's the best thing about being a parent
319_turn_012,what's the hardest thing about being a parent
319_turn_013,that makes sense
319_turn_014,how did you feel in that moment
319_turn_015,that's great
319_turn_016,why why
319_turn_017,have you ever been diagnosed with p_t_s_d
319_turn_018,have you been diagnosed with depression
319_turn_019,how long ago were you diagnosed
319_turn_020,what got you to seek help
319_turn_021,did you think you had a problem before you found out
319_turn_022,what were your symptoms
319_turn_023,i'm sorry to hear that
319_turn_024,do you feel like therapy's useful
319_turn_025,can you tell me about that
319_turn_026,what sort of changes have you noticed since you've been going to therapy
319_turn_027,that sounds really hard
319_turn_028,could you say a little more about that
319_turn_029,i see what you mean
319_turn_030,how would your best friend describe you
319_turn_031,that's so good to hear
319_turn_032,what advice would you give yourself ten or twenty years ago
319_turn_033,okay i think i've asked everything i need to
319_turn_034,goodbye
320_turn_000,[laughter]
320_turn_001,what's your dream job
320_turn_002,what'd you study at school
320_turn_003,that sounds interesting
320_turn_004,how did you decide to do that
320_turn_005,that's good
320_turn_006,why don't we talk about that later
320_turn_007,when was the last time you argued with someone and what was it about
320_turn_008,<laughter>
320_turn_009,what would you say are some of your best qualities
320_turn_010,can you give me an example of that
320_turn_011,that's great
320_turn_012,i'm sorry to hear that
320_turn_013,how have you been feeling lately
320_turn_014,could you say a little more about that
320_turn_015,i'm sorry
320_turn_016,what are you like when you don't sleep well
320_turn_017,how long ago were you diagnosed
320_turn_018,what got you to seek help
320_turn_019,do you still go to therapy now
320_turn_020,why did you stop
320_turn_021,did you think you had a problem before you found out
320_turn_022,what were your symptoms
320_turn_023,whatever comes to your mind
320_turn_024,that sounds really hard
320_turn_025,do you feel like therapy is useful
320_turn_026,what sort of changes have you noticed since you've been going to therapy
320_turn_027,that's good
320_turn_028,how have you been feeling lately
320_turn_029,that's so good to hear
320_turn_030,what's the hardest thing about being a parent
320_turn_031,can you give me an example of that
320_turn_032,awesome
320_turn_033,really
320_turn_034,how hard is that
320_turn_035,that's great
321_turn_000,really
321_turn_001,when'd you move to l_a
321_turn_002,<laughter>
321_turn_003,are you still working in that
321_turn_004,what do you do now
321_turn_005,it can be tough to find a good job these days
321_turn_006,what's your dream job
321_turn_007,that sounds interesting
321_turn_008,that's great
321_turn_009,when was the last time you argued with someone and what was it about
321_turn_010,that sounds really hard
321_turn_011,do you find it easy to be a parent
321_turn_012,how did you feel in that moment
321_turn_013,that sounds like a great situation
321_turn_014,have you ever served in the military
321_turn_015,have you ever been diagnosed with p_t_s_d
321_turn_016,how long ago were you diagnosed
321_turn_017,what got you to seek help
321_turn_018,how have you been feeling lately
321_turn_019,i'm sorry to hear that
321_turn_020,how hard is that
321_turn_021,are they triggered by something
321_turn_022,why did you stop
321_turn_023,i understand
321_turn_024,do you feel like therapy's useful
321_turn_025,is going to a therapist helping you
321_turn_026,that's good
321_turn_027,how would your best friend describe you
321_turn_028,can you tell me about that
321_turn_029,whatever comes to your mind
321_turn_030,that's so good to hear
321_turn_031,how did you decide to do that
321_turn_032,that sounds really hard
321_turn_033,could you have done anything to avoid it
321_turn_034,i'd love to hear all about it
321_turn_035,that's great
321_turn_036,when was the last time that happened
321_turn_037,how do you know them
321_turn_038,how close are you to them
322_turn_000,really
322_turn_001,why'd you move to l_a
322_turn_002,when'd you move to l_a
322_turn_003,that's good
322_turn_004,that's good
322_turn_005,i'd love to hear about one of your trips
322_turn_006,what'd you study at school
322_turn_007,are you still working in that
322_turn_008,how did you decide to do that
322_turn_009,that's great
322_turn_010,uh huh
322_turn_011,that sounds really hard
322_turn_012,what do you think of today's kids
322_turn_013,what do you think of today's kids
322_turn_014,what do you think of today's kids
322_turn_015,let's come back to that later
322_turn_016,have you ever been diagnosed with p_t_s_d
322_turn_017,have you been diagnosed with depression
322_turn_018,how long ago were you diagnosed
322_turn_019,what made you decide to go and see someone
322_turn_020,how have you been feeling lately
322_turn_021,that's good
322_turn_022,why did you stop
322_turn_023,awesome
322_turn_024,i understand
322_turn_025,are they triggered by something
322_turn_026,are they triggered by something
322_turn_027,when was the last time that happened
322_turn_028,can you tell me about that
322_turn_029,what are some things you really like about l_a
322_turn_030,<laughter>
322_turn_031,what are some things that make you really mad
322_turn_032,what would you say are some of your best qualities
322_turn_033,that's great
322_turn_034,goodbye
324_turn_000,i'm great thanks
324_turn_001,really
324_turn_002,can you give me an example of that
324_turn_003,that's good
324_turn_004,when was the last time that happened
324_turn_005,what do you enjoy about traveling
324_turn_006,i see what you mean
324_turn_007,how are you at controlling your temper
324_turn_008,tell me more about that
324_turn_009,when was the last time you argued with someone and what was it about
324_turn_010,what do you do when you're annoyed
324_turn_011,what are some things that make you really mad
324_turn_012,that sucks
324_turn_013,have you ever served in the military
324_turn_014,have you ever been diagnosed with p_t_s_d
324_turn_015,have you been diagnosed with depression
324_turn_016,do you still go to therapy now
324_turn_017,why did you stop
324_turn_018,i'm sorry to hear that
324_turn_019,do you feel like therapy is useful
324_turn_020,is going to a therapist helping you
324_turn_021,tell me more about that
324_turn_022,how have you been feeling lately
324_turn_023,that sounds really hard
324_turn_024,could you have done anything to avoid it
324_turn_025,there are always trade offs in life aren't there
324_turn_026,have you noticed any changes in your behavior or thoughts lately
324_turn_027,are they triggered by something
324_turn_028,when was the last time that happened
324_turn_029,really
324_turn_030,uh huh
324_turn_031,can you give me an example of that
324_turn_032,that's great
324_turn_033,what made you decide to do that
324_turn_034,let's come back to that later
324_turn_035,that's great
324_turn_036,whatever comes to your mind
324_turn_037,okay i think i've asked everything i need to
324_turn_038,goodbye
325_turn_000,<laughter>
325_turn_001,awesome
325_turn_002,i'd love to hear about one of your trips
325_turn_003,<laughter>
325_turn_004,that's good
325_turn_005,i see what you mean
325_turn_006,that's great
325_turn_007,that's so good to hear
325_turn_008,have you ever been diagnosed with p_t_s_d
325_turn_009,have you been diagnosed with depression
325_turn_010,how long ago were you diagnosed
325_turn_011,you were very young weren't you
325_turn_012,do you still go to therapy now
325_turn_013,that sucks
325_turn_014,yeah that sounds really hard
325_turn_015,that's great
325_turn_016,awesome
325_turn_017,<laughter>
325_turn_018,that's great
326_turn_000,how often do you go back to your hometown
326_turn_001,i understand
326_turn_002,uh huh
326_turn_003,what's your dream job
326_turn_004,what'd you study at school
326_turn_005,what do you do to relax
326_turn_006,when was the last time you argued with someone and what was it about
326_turn_007,how close are you to them
326_turn_008,how do you know them
326_turn_009,what do you think of today's kids
326_turn_010,tell me more about that
326_turn_011,what made you decide to do that
326_turn_012,i'd love to hear about one of your trips
326_turn_013,that sounds like a great situation
326_turn_014,what's one of your most memorable experiences
326_turn_015,i see what you mean
326_turn_016,can you tell me about that
326_turn_017,i understand
326_turn_018,can you give me an example of that
326_turn_019,have you been diagnosed with depression
326_turn_020,what would you say are some of your best qualities
326_turn_021,can you give me an example of that
326_turn_022,that sounds interesting
326_turn_023,what are some things that usually put you in a good mood
326_turn_024,when was the last time that happened
326_turn_025,awesome
326_turn_026,<laughter>
326_turn_027,is it uncomfortable for you to talk about this
326_turn_028,thank you
326_turn_029,goodbye
327_turn_000,really
327_turn_001,how easy was it for you to get used to living in l_a
327_turn_002,that's good
327_turn_003,i understand
327_turn_004,i'd love to hear about one of your trips
327_turn_005,awesome
327_turn_006,what do you do now
327_turn_007,what's your dream job
327_turn_008,do you consider yourself an introvert
327_turn_009,that's great
327_turn_010,what do you do when you're annoyed
327_turn_011,that's good
327_turn_012,do you find it easy to be a parent
327_turn_013,what's the best thing about being a parent
327_turn_014,uh huh
327_turn_015,i'm sorry to hear that
327_turn_016,i understand
327_turn_017,what do you think of today's kids
327_turn_018,<laughter>
327_turn_019,that's so good to hear
327_turn_020,have you ever been diagnosed with p_t_s_d
327_turn_021,how long ago were you diagnosed
327_turn_022,what got you to seek help
327_turn_023,can you tell me about that
327_turn_024,that's great
327_turn_025,how have you been feeling lately
327_turn_026,that's good
327_turn_027,how easy is it for you to get a good night's sleep
327_turn_028,that sucks
327_turn_029,how hard is that
327_turn_030,tell me about something you did recently that you really enjoyed
327_turn_031,that makes sense
327_turn_032,who's someone that's been a positive influence in your life
327_turn_033,could you have done anything to avoid it
327_turn_034,that's good
327_turn_035,can you tell me about that
327_turn_036,<laughter>
327_turn_037,that's so good to hear
328_turn_000,i'm great thanks
328_turn_001,really
328_turn_002,i see what you mean
328_turn_003,awesome
328_turn_004,how did you decide to do that
328_turn_005,that's great
328_turn_006,what was it about
328_turn_007,what are some things that make you really mad
328_turn_008,do you find it easy to be a parent
328_turn_009,uh huh
328_turn_010,that's good
328_turn_011,<laughter>
328_turn_012,uh huh
328_turn_013,yeah i see what you mean
328_turn_014,how do you know them
328_turn_015,that sounds like a great situation
328_turn_016,what would you say are some of your best qualities
328_turn_017,that's good
328_turn_018,have you ever been diagnosed with p_t_s_d
328_turn_019,have you been diagnosed with depression
328_turn_020,how easy is it for you to get a good night's sleep
328_turn_021,what are you like when you don't sleep well
328_turn_022,that's so good to hear
328_turn_023,how do you know them
328_turn_024,what's one of your most memorable experiences
328_turn_025,<laughter>
328_turn_026,<laughter>
328_turn_027,can you tell me about that
328_turn_028,i understand
328_turn_029,that's great
328_turn_030,i'm ellie
330_turn_000,how are you at controlling your temper
330_turn_001,what do you do when you're annoyed
330_turn_002,awesome
330_turn_003,are you still working in that
330_turn_004,what do you do now
330_turn_005,that sounds interesting
330_turn_006,really
330_turn_007,i understand
330_turn_008,can you tell me about that
330_turn_009,how do you know them
330_turn_010,have you ever been diagnosed with p_t_s_d
330_turn_011,have you been diagnosed with depression
330_turn_012,how easy is it for you to get a good night's sleep
330_turn_013,what are you like when you don't sleep well
330_turn_014,whatever comes to your mind
330_turn_015,that sounds really hard
330_turn_016,how do you cope with them
330_turn_017,how do you know them
330_turn_018,how close are you to them
330_turn_019,that's good
330_turn_020,when was the last time that happened
330_turn_021,what advice would you give yourself ten or twenty years ago
330_turn_022,let's come back to that later
330_turn_023,i see what you mean
330_turn_024,tell me more about that
330_turn_025,that's great
333_turn_000,<research assistant speaking>
333_turn_001,when'd you move to l_a
333_turn_002,how easy was it for you to get used to living in l_a
333_turn_003,can you tell me about that
333_turn_004,uh huh
333_turn_005,are you still working in that
333_turn_006,what's your dream job
333_turn_007,really
333_turn_008,how hard is that
333_turn_009,awesome
333_turn_010,i'd love to hear about one of your trips
333_turn_011,that's good
333_turn_012,<laughter> okay
333_turn_013,like what
333_turn_014,how did you decide to do that
333_turn_015,let's come back to that later
333_turn_016,have you ever been diagnosed with p_t_s_d
333_turn_017,have you been diagnosed with depression
333_turn_018,how have you been feeling lately
333_turn_019,are they triggered by something
333_turn_020,uh huh
333_turn_021,that's good
333_turn_022,what are you like when you don't sleep well
333_turn_023,i see what you mean
333_turn_024,that's good
333_turn_025,uh huh
333_turn_026,how did you feel in that moment
333_turn_027,i understand
333_turn_028,can you give me an example of that
333_turn_029,that's so good to hear
333_turn_030,that's great
336_turn_000,that's good
336_turn_001,really
336_turn_002,awesome
336_turn_003,yeah i see what you mean
336_turn_004,when'd you move to l_a
336_turn_005,i'd love to hear about one of your trips
336_turn_006,uh huh
336_turn_007,how hard is that
336_turn_008,what was it about
336_turn_009,awesome
336_turn_010,what made you decide to do that
336_turn_011,that sounds like a great situation
336_turn_012,what are some things that make you really mad
336_turn_013,that sucks
336_turn_014,when was the last time you argued with someone and what was it about
336_turn_015,how close are you to them
336_turn_016,what's your dream job
336_turn_017,have you ever been diagnosed with p_t_s_d
336_turn_018,have you been diagnosed with depression
336_turn_019,how easy is it for you to get a good night's sleep
336_turn_020,i'm sorry
336_turn_021,that's good
336_turn_022,uh huh
336_turn_023,do you think that maybe you're being a little hard on yourself
336_turn_024,how hard is that
336_turn_025,how do you cope with them
336_turn_026,that's good
336_turn_027,tell me more about that
336_turn_028,that's good
336_turn_029,uh huh
336_turn_030,i see what you mean
336_turn_031,could you have done anything to avoid it
336_turn_032,has that gotten you in trouble
336_turn_033,what advice would you give yourself ten or twenty years ago
336_turn_034,tell me more about that
336_turn_035,that's so good to hear
336_turn_036,what would you say are some of your best qualities
336_turn_037,uh huh
336_turn_038,that's good
338_turn_000,really
338_turn_001,what are some things you don't really like about l_a
338_turn_002,yeah i see what you mean
338_turn_003,are you still working in that
338_turn_004,what do you do now
338_turn_005,what do you do when you're annoyed
338_turn_006,uh huh
338_turn_007,that's good
338_turn_008,i'm sorry to hear that
338_turn_009,what advice would you give yourself ten or twenty years ago
338_turn_010,have you ever been diagnosed with p_t_s_d
338_turn_011,have you been diagnosed with depression
338_turn_012,how long ago were you diagnosed
338_turn_013,what got you to seek help
338_turn_014,do you still go to therapy now
338_turn_015,why did you stop
338_turn_016,how do you cope with them
338_turn_017,that's great
338_turn_018,that's great
338_turn_019,uh huh
338_turn_020,can you tell me about that
338_turn_021,that's so good to hear
338_turn_022,how did you feel in that moment
338_turn_023,that's good
338_turn_024,when was the last time that happened
338_turn_025,that's good
339_turn_000,really
339_turn_001,what's it like for you living with them
339_turn_002,are you still working in that
339_turn_003,what's your dream job
339_turn_004,really
339_turn_005,how are you at controlling your temper
339_turn_006,that's good
339_turn_007,have you ever been diagnosed with p_t_s_d
339_turn_008,how long ago were you diagnosed
339_turn_009,did you think you had a problem before you found out
339_turn_010,are they triggered by something
339_turn_011,can you tell me about that
339_turn_012,that's good
339_turn_013,is going to a therapist helping you
339_turn_014,what sort of changes have you noticed since you've been going to therapy
339_turn_015,how has seeing a therapist affected you
339_turn_016,yeah how hard is that
339_turn_017,that's good
339_turn_018,are you happy you did that
339_turn_019,uh huh
339_turn_020,do you feel down
339_turn_021,yeah i'm sorry to hear that
339_turn_022,can you tell me about that
339_turn_023,that's great
339_turn_024,uh huh
339_turn_025,what's one of your most memorable experiences
339_turn_026,how did you feel in that moment
339_turn_027,that's so good to hear
340_turn_000,really
340_turn_001,mhm that's a long time
340_turn_002,mhm what are some things you don't really like about l_a
340_turn_003,when was the last time that happened
340_turn_004,that's so good to hear
340_turn_005,really
340_turn_006,that's great
340_turn_007,who's someone that's been a positive influence in your life
340_turn_008,okay okay
340_turn_009,have you ever been diagnosed with p_t_s_d
340_turn_010,have you been diagnosed with depression
340_turn_011,how easy is it for you to get a good night's sleep
340_turn_012,what are you like when you don't sleep well
340_turn_013,have you noticed any changes in your behavior or thoughts lately
340_turn_014,tell me more about that
340_turn_015,mhm how did you decide to do that
340_turn_016,i see what you mean
340_turn_017,that's good
340_turn_018,uh huh
340_turn_019,what's the hardest thing about being a parent
340_turn_020,that's good what do you think of today's kids
340_turn_021,tell me more about that
340_turn_022,how did you feel in that moment
340_turn_023,i'd love to hear about one of your trips
340_turn_024,awesome how did you decide to do that
340_turn_025,are you happy you did that
340_turn_026,that's so good to hear
340_turn_027,uh huh uh huh uh huh is there anything you regret is there anything you regret
340_turn_028,what advice would you give yourself ten or twenty years ago
341_turn_000,that's good
341_turn_001,are you happy you did that
341_turn_002,when was the last time that happened
341_turn_003,awesome
341_turn_004,what do you do to relax
341_turn_005,that's good
341_turn_006,<laughter>
341_turn_007,do you find it easy to be a parent
341_turn_008,what's the best thing about being a parent
341_turn_009,that's so good to hear
341_turn_010,whatever comes to your mind
341_turn_011,how are you at controlling your temper
341_turn_012,uh huh
341_turn_013,that sucks
341_turn_014,i understand
341_turn_015,uh huh
341_turn_016,that's great
341_turn_017,that's good
341_turn_018,have you ever served in the military
341_turn_019,really
341_turn_020,you were very young weren't you
341_turn_021,why'd you decide to enlist in the military
341_turn_022,are you happy you did that
341_turn_023,uh huh
341_turn_024,that's good
341_turn_025,what did you do after the military
341_turn_026,has that gotten you in trouble
341_turn_027,that's good
341_turn_028,how easy is it for you to get a good night's sleep
341_turn_029,uh huh
341_turn_030,how hard is that
341_turn_031,uh huh
341_turn_032,do you feel down
341_turn_033,that's great
343_turn_000,really
343_turn_001,what are some things that make you really mad
343_turn_002,uh huh
343_turn_003,can you give me an example of that
343_turn_004,has that gotten you in trouble
343_turn_005,uh huh
343_turn_006,let's come back to that later
343_turn_007,let's come back to that later
343_turn_008,what'd you study at school
343_turn_009,why don't we talk about that later
343_turn_010,it can be tough to find a good job these days
343_turn_011,how close are you to them
343_turn_012,whatever comes to your mind
343_turn_013,have you ever been diagnosed with p_t_s_d
343_turn_014,have you been diagnosed with depression
343_turn_015,how long ago were you diagnosed
343_turn_016,what got you to seek help
343_turn_017,tell me more about that
343_turn_018,have you noticed any changes in your behavior or thoughts lately
343_turn_019,how easy is it for you to get a good night's sleep
343_turn_020,why did you stop
343_turn_021,what would you say are some of your best qualities
343_turn_022,tell me more about that
343_turn_023,how did you decide to do that
343_turn_024,tell me about that
343_turn_025,that's so good to hear
343_turn_026,can you tell me about that
343_turn_027,who's someone that's been a positive influence in your life
343_turn_028,uh huh
344_turn_000,really
344_turn_001,what are some things you don't really like about l_a
344_turn_002,what do you enjoy about traveling
344_turn_003,you were very young weren't you
344_turn_004,did you ever see combat
344_turn_005,like what
344_turn_006,that sucks
344_turn_007,what did you do after the military
344_turn_008,what made you decide to do that
344_turn_009,what made you decide to do that
344_turn_010,that's good
344_turn_011,are you still working in that
344_turn_012,i'm sorry to hear that
344_turn_013,that's good
344_turn_014,what's your dream job
344_turn_015,what's your dream job
344_turn_016,can you give me an example of that
344_turn_017,how are you at controlling your temper
344_turn_018,that's good
344_turn_019,that's so good to hear
344_turn_020,that's great
344_turn_021,have you noticed any changes in your behavior or thoughts lately
344_turn_022,like what
344_turn_023,how hard is that
344_turn_024,how hard is that
344_turn_025,are they triggered by something
344_turn_026,what got you to seek help
344_turn_027,is going to a therapist helping you
344_turn_028,i understand
